PO_ITEM_POS,PRODUCT_GUID_NODE_KEY    ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          
60,74867AD200E41EDBA5D8B06B26F2C052  ,CAD          ,116.62,98,18.62
10,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,1218.56,1024,194.56
20,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,21.18,17.8,3.38
30,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,188.02,158,30.02
10,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,1166.2,980,186.2
20,74867AD200E41EDBA5D8B06B26F32052  ,ARS          ,83.3,70,13.3
30,74867AD200E41EDBA5D8B06B26F8C052  ,ARS          ,2259.81,1899,360.81
40,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,1166.2,980,186.2
50,74867AD200E41EDBA5D8B06B26F32052  ,ARS          ,83.3,70,13.3
60,74867AD200E41EDBA5D8B06B26F8C052  ,ARS          ,753.27,633,120.27
70,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,1749.3,1470,279.3
10,74867AD200E41EDBA5D8B06B26F54052  ,ARS          ,34.51,29,5.51
20,74867AD200E41EDBA5D8B06B26EFA052  ,ARS          ,253.11,212.7,40.41
30,74867AD200E41EDBA5D8B06B26F54052  ,ARS          ,103.53,87,16.53
40,74867AD200E41EDBA5D8B06B26EFA052  ,ARS          ,84.37,70.9,13.47
10,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,2322.88,1952,370.88
20,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,2853.62,2398,455.62
30,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,26.18,22,4.18
40,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,3484.32,2928,556.32
50,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,2853.62,2398,455.62
60,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,26.18,22,4.18
70,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,1161.44,976,185.44
80,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,2853.62,2398,455.62
90,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,39.27,33,6.27
10,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,10.7,8.99,1.71
20,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135,25.65
30,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,2972.62,2498,474.62
40,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.4,17.98,3.42
50,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135,25.65
60,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,2972.62,2498,474.62
70,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.4,17.98,3.42
10,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,46.41,39,7.41
20,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,33.32,28,5.32
30,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,46.41,39,7.41
40,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,16.66,14,2.66
50,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,46.41,39,7.41
60,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,49.98,42,7.98
10,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,4280.43,3597,683.43
20,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,5.47,4.6,0.87
30,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,410.55,345,65.55
40,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,4280.43,3597,683.43
50,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,5.47,4.6,0.87
60,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,410.55,345,65.55
70,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,2853.62,2398,455.62
80,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,8.21,6.9,1.31
90,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,821.1,690,131.1
10,74867AD200E41EDBA5D8B06B26EDE052  ,USD          ,235.62,198,37.62
20,74867AD200E41EDBA5D8B06B26F92052  ,USD          ,1651.72,1388,263.72
30,74867AD200E41EDBA5D8B06B26F38052  ,USD          ,54.74,46,8.74
10,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,10.7,8.99,1.71
20,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,107.1,90,17.1
10,74867AD200E41EDBA5D8B06B26EC0052  ,JPY          ,8207.43,6897,1310.43
20,74867AD200E41EDBA5D8B06B26F74052  ,JPY          ,6069,5100,969
30,74867AD200E41EDBA5D8B06B26F1A052  ,JPY          ,65.45,55,10.45
40,74867AD200E41EDBA5D8B06B26EC0052  ,JPY          ,5471.62,4598,873.62
10,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,285.24,239.7,45.54
20,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,1963.5,1650,313.5
30,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,160.61,134.97,25.64
40,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,95.08,79.9,15.18
50,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,5890.5,4950,940.5
60,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,53.54,44.99,8.55
10,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598,113.62
20,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,194.45,163.4,31.05
30,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598,113.62
40,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,194.45,163.4,31.05
50,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,355.81,299,56.81
60,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,97.22,81.7,15.52
70,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598,113.62
80,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,291.67,245.1,46.57
90,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598,113.62
10,74867AD200E41EDBA5D8B06B26EC0052  ,JPY          ,5471.62,4598,873.62
20,74867AD200E41EDBA5D8B06B26F74052  ,JPY          ,2023,1700,323
30,74867AD200E41EDBA5D8B06B26F1A052  ,JPY          ,130.9,110,20.9
10,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,1535.1,1290,245.1
20,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0,0,0
10,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.1,390,74.1
20,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,603.33,507,96.33
30,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,154.7,130,24.7
40,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
10,74867AD200E41EDBA5D8B06B26F76052  ,EUR          ,4284,3600,684
20,74867AD200E41EDBA5D8B06B26F1C052  ,EUR          ,103.53,87,16.53
30,74867AD200E41EDBA5D8B06B26EC2052  ,EUR          ,1638.63,1377,261.63
40,74867AD200E41EDBA5D8B06B26F76052  ,EUR          ,4284,3600,684
50,74867AD200E41EDBA5D8B06B26F1C052  ,EUR          ,69.02,58,11.02
60,74867AD200E41EDBA5D8B06B26EC2052  ,EUR          ,546.21,459,87.21
70,74867AD200E41EDBA5D8B06B26F76052  ,EUR          ,2856,2400,456
10,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,117.81,99,18.81
20,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900,10000,1900
30,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,1425.62,1198,227.62
40,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,235.62,198,37.62
50,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,17850,15000,2850
60,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,1425.62,1198,227.62
70,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,235.62,198,37.62
80,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900,10000,1900
90,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,2138.43,1797,341.43
100,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,353.43,297,56.43
10,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,1544.62,1298,246.62
20,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,8.33,7,1.33
30,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,3472.42,2918,554.42
40,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,1544.62,1298,246.62
50,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,16.66,14,2.66
60,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,3472.42,2918,554.42
70,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,2316.93,1947,369.93
80,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,24.99,21,3.99
90,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,3472.42,2918,554.42
100,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,2316.93,1947,369.93
10,74867AD200E41EDBA5D8B06B26EB4052  ,EUR          ,3412.92,2868,544.92
20,74867AD200E41EDBA5D8B06B26F68052  ,EUR          ,558.11,469,89.11
30,74867AD200E41EDBA5D8B06B26F0E052  ,EUR          ,61.88,52,9.88
40,74867AD200E41EDBA5D8B06B26EB4052  ,EUR          ,2275.28,1912,363.28
50,74867AD200E41EDBA5D8B06B26F68052  ,EUR          ,558.11,469,89.11
60,74867AD200E41EDBA5D8B06B26F0E052  ,EUR          ,61.88,52,9.88
70,74867AD200E41EDBA5D8B06B26EB4052  ,EUR          ,1137.64,956,181.64
80,74867AD200E41EDBA5D8B06B26F68052  ,EUR          ,1116.22,938,178.22
10,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,674.73,567,107.73
20,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,3173.73,2667,506.73
30,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,674.73,567,107.73
40,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,1057.91,889,168.91
50,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,224.91,189,35.91
10,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,21.18,17.8,3.38
20,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,94.01,79,15.01
30,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,1218.56,1024,194.56
40,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,10.59,8.9,1.69
50,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,282.03,237,45.03
10,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,201.11,169,32.11
20,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,309.4,260,49.4
30,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
40,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.1,390,74.1
50,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
60,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,309.4,260,49.4
70,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,603.33,507,96.33
10,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,3484.32,2928,556.32
20,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,1426.81,1199,227.81
30,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,39.27,33,6.27
10,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,16.66,14,2.66
20,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,5208.63,4377,831.63
30,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,772.31,649,123.31
40,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,16.66,14,2.66
50,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,3472.42,2918,554.42
60,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,772.31,649,123.31
70,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,24.99,21,3.99
80,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,1736.21,1459,277.21
10,74867AD200E41EDBA5D8B06B26F98052  ,JPY          ,59.5,50,9.5
20,74867AD200E41EDBA5D8B06B26EE4052  ,JPY          ,283.22,238,45.22
30,74867AD200E41EDBA5D8B06B26F3E052  ,JPY          ,35700,30000,5700
40,74867AD200E41EDBA5D8B06B26F98052  ,JPY          ,89.25,75,14.25
50,74867AD200E41EDBA5D8B06B26EE4052  ,JPY          ,141.61,119,22.61
60,74867AD200E41EDBA5D8B06B26F3E052  ,JPY          ,35700,30000,5700
10,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998,569.62
20,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,1616.02,1358,258.02
30,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998,569.62
10,74867AD200E41EDBA5D8B06B26FA2052  ,CAD          ,642.6,540,102.6
20,74867AD200E41EDBA5D8B06B26EEE052  ,CAD          ,38.08,32,6.08
30,74867AD200E41EDBA5D8B06B26F48052  ,CAD          ,1959.93,1647,312.93
40,74867AD200E41EDBA5D8B06B26FA2052  ,CAD          ,642.6,540,102.6
50,74867AD200E41EDBA5D8B06B26EEE052  ,CAD          ,38.08,32,6.08
60,74867AD200E41EDBA5D8B06B26F48052  ,CAD          ,653.31,549,104.31
70,74867AD200E41EDBA5D8B06B26FA2052  ,CAD          ,963.9,810,153.9
10,74867AD200E41EDBA5D8B06B26F4E052  ,EUR          ,653.31,549,104.31
20,74867AD200E41EDBA5D8B06B26EF4052  ,EUR          ,32.09,26.97,5.12
30,74867AD200E41EDBA5D8B06B26FA8052  ,EUR          ,1888.53,1587,301.53
40,74867AD200E41EDBA5D8B06B26F4E052  ,EUR          ,653.31,549,104.31
10,74867AD200E41EDBA5D8B06B26EF2052  ,USD          ,16.64,13.98,2.66
20,74867AD200E41EDBA5D8B06B26FA6052  ,USD          ,1306.62,1098,208.62
30,74867AD200E41EDBA5D8B06B26F4C052  ,USD          ,1306.62,1098,208.62
40,74867AD200E41EDBA5D8B06B26EF2052  ,USD          ,24.95,20.97,3.98
50,74867AD200E41EDBA5D8B06B26FA6052  ,USD          ,1306.62,1098,208.62
60,74867AD200E41EDBA5D8B06B26F4C052  ,USD          ,1306.62,1098,208.62
70,74867AD200E41EDBA5D8B06B26EF2052  ,USD          ,8.32,6.99,1.33
80,74867AD200E41EDBA5D8B06B26FA6052  ,USD          ,1306.62,1098,208.62
90,74867AD200E41EDBA5D8B06B26F4C052  ,USD          ,1959.93,1647,312.93
10,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,609.28,512,97.28
20,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,31.77,26.7,5.07
30,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,188.02,158,30.02
40,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,1218.56,1024,194.56
50,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,31.77,26.7,5.07
60,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,188.02,158,30.02
70,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,1218.56,1024,194.56
10,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,10.7,8.99,1.71
20,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,107.1,90,17.1
30,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,1486.31,1249,237.31
40,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,10.7,8.99,1.71
50,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,53.55,45,8.55
60,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,4458.93,3747,711.93
10,74867AD200E41EDBA5D8B06B26F20052  ,ARS          ,106.74,89.7,17.04
20,74867AD200E41EDBA5D8B06B26F7A052  ,ARS          ,1428,1200,228
30,74867AD200E41EDBA5D8B06B26EC6052  ,ARS          ,1998.01,1679,319.01
40,74867AD200E41EDBA5D8B06B26F20052  ,ARS          ,106.74,89.7,17.04
50,74867AD200E41EDBA5D8B06B26F7A052  ,ARS          ,1428,1200,228
60,74867AD200E41EDBA5D8B06B26EC6052  ,ARS          ,1998.01,1679,319.01
70,74867AD200E41EDBA5D8B06B26F20052  ,ARS          ,71.16,59.8,11.36
80,74867AD200E41EDBA5D8B06B26F7A052  ,ARS          ,2142,1800,342
90,74867AD200E41EDBA5D8B06B26EC6052  ,ARS          ,3996.02,3358,638.02
10,74867AD200E41EDBA5D8B06B26FA8052  ,EUR          ,1259.02,1058,201.02
20,74867AD200E41EDBA5D8B06B26F4E052  ,EUR          ,653.31,549,104.31
30,74867AD200E41EDBA5D8B06B26EF4052  ,EUR          ,21.4,17.98,3.42
10,74867AD200E41EDBA5D8B06B26F74052  ,JPY          ,2023,1700,323
20,74867AD200E41EDBA5D8B06B26F1A052  ,JPY          ,130.9,110,20.9
10,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,2316.93,1947,369.93
20,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,24.99,21,3.99
30,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,1736.21,1459,277.21
40,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,1544.62,1298,246.62
10,74867AD200E41EDBA5D8B06B26F74052  ,JPY          ,6069,5100,969
20,74867AD200E41EDBA5D8B06B26F1A052  ,JPY          ,65.45,55,10.45
30,74867AD200E41EDBA5D8B06B26EC0052  ,JPY          ,8207.43,6897,1310.43
40,74867AD200E41EDBA5D8B06B26F74052  ,JPY          ,6069,5100,969
50,74867AD200E41EDBA5D8B06B26F1A052  ,JPY          ,65.45,55,10.45
10,74867AD200E41EDBA5D8B06B26F98052  ,JPY          ,59.5,50,9.5
20,74867AD200E41EDBA5D8B06B26EE4052  ,JPY          ,283.22,238,45.22
30,74867AD200E41EDBA5D8B06B26F3E052  ,JPY          ,35700,30000,5700
40,74867AD200E41EDBA5D8B06B26F98052  ,JPY          ,59.5,50,9.5
50,74867AD200E41EDBA5D8B06B26EE4052  ,JPY          ,141.61,119,22.61
60,74867AD200E41EDBA5D8B06B26F3E052  ,JPY          ,17850,15000,2850
70,74867AD200E41EDBA5D8B06B26F98052  ,JPY          ,59.5,50,9.5
80,74867AD200E41EDBA5D8B06B26EE4052  ,JPY          ,424.83,357,67.83
90,74867AD200E41EDBA5D8B06B26F3E052  ,JPY          ,35700,30000,5700
10,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900,10000,1900
20,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,712.81,599,113.81
30,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,235.62,198,37.62
10,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,603.33,507,96.33
20,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.1,390,74.1
10,74867AD200E41EDBA5D8B06B26F4A052  ,CHF          ,1959.93,1647,312.93
20,74867AD200E41EDBA5D8B06B26FA4052  ,CHF          ,1959.93,1647,312.93
30,74867AD200E41EDBA5D8B06B26EF0052  ,CHF          ,30.94,26,4.94
40,74867AD200E41EDBA5D8B06B26F4A052  ,CHF          ,1306.62,1098,208.62
10,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,3484.32,2928,556.32
20,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,4280.43,3597,683.43
30,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,39.27,33,6.27
40,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,3484.32,2928,556.32
50,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,1426.81,1199,227.81
60,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,26.18,22,4.18
70,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,1161.44,976,185.44
80,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,2853.62,2398,455.62
10,74867AD200E41EDBA5D8B06B26F70052  ,USD          ,535.49,449.99,85.5
20,74867AD200E41EDBA5D8B06B26F16052  ,USD          ,164.22,138,26.22
30,74867AD200E41EDBA5D8B06B26EBC052  ,USD          ,711.62,598,113.62
40,74867AD200E41EDBA5D8B06B26F70052  ,USD          ,1070.98,899.98,171
50,74867AD200E41EDBA5D8B06B26F16052  ,USD          ,246.33,207,39.33
60,74867AD200E41EDBA5D8B06B26EBC052  ,USD          ,711.62,598,113.62
70,74867AD200E41EDBA5D8B06B26F70052  ,USD          ,1070.98,899.98,171
80,74867AD200E41EDBA5D8B06B26F16052  ,USD          ,164.22,138,26.22
90,74867AD200E41EDBA5D8B06B26EBC052  ,USD          ,1067.43,897,170.43
100,74867AD200E41EDBA5D8B06B26F70052  ,USD          ,1606.46,1349.97,256.49
10,74867AD200E41EDBA5D8B06B26EDE052  ,USD          ,235.62,198,37.62
20,74867AD200E41EDBA5D8B06B26F92052  ,USD          ,1651.72,1388,263.72
30,74867AD200E41EDBA5D8B06B26F38052  ,USD          ,54.74,46,8.74
40,74867AD200E41EDBA5D8B06B26EDE052  ,USD          ,235.62,198,37.62
50,74867AD200E41EDBA5D8B06B26F92052  ,USD          ,3303.44,2776,527.44
60,74867AD200E41EDBA5D8B06B26F38052  ,USD          ,54.74,46,8.74
70,74867AD200E41EDBA5D8B06B26EDE052  ,USD          ,353.43,297,56.43
80,74867AD200E41EDBA5D8B06B26F92052  ,USD          ,4955.16,4164,791.16
90,74867AD200E41EDBA5D8B06B26F38052  ,USD          ,54.74,46,8.74
100,74867AD200E41EDBA5D8B06B26EDE052  ,USD          ,353.43,297,56.43
10,74867AD200E41EDBA5D8B06B26F5E052  ,PLN          ,1028.16,864,164.16
20,74867AD200E41EDBA5D8B06B26F04052  ,PLN          ,105.91,89,16.91
30,74867AD200E41EDBA5D8B06B26F5E052  ,PLN          ,685.44,576,109.44
40,74867AD200E41EDBA5D8B06B26F04052  ,PLN          ,211.82,178,33.82
50,74867AD200E41EDBA5D8B06B26F5E052  ,PLN          ,342.72,288,54.72
60,74867AD200E41EDBA5D8B06B26F04052  ,PLN          ,211.82,178,33.82
